CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,PCA1,PCA2
1,Male,19,15,39,1,0.22233587018227352,-2.23698037360745
2,Male,21,15,81,1,0.32382929604752153,-2.1354869477422027
3,Female,20,16,6,1,0.24609272091351786,-2.159243798473446
4,Female,23,16,77,1,0.39833285971139,-2.0070036596755756
5,Female,31,17,40,1,0.7773167009710025,-1.5740400940132069
6,Female,22,17,76,1,0.3205962845773862,-2.030760510406819
7,Female,35,18,6,1,0.9533136905001189,-1.3440633800813326
8,Female,23,18,94,1,0.34435313530863054,-1.9530239352728158
9,Male,64,19,3,2,2.3979785033448366,0.15458115716613147
10,Female,30,19,72,1,0.6725902636356189,-1.5708070825430707
11,Male,67,19,14,2,2.550218642142709,0.30682129596400237
12,Female,35,19,99,1,0.9263238282987392,-1.3170735178799526
13,Female,58,20,15,2,2.0665083635477126,-0.12290925822823012
14,Female,24,20,77,1,0.3411201238384951,-1.8482974979374323
15,Male,37,20,13,1,1.0008273919626076,-1.1885902298133255
16,Male,22,20,79,1,0.23962669797324704,-1.9497909238026794
17,Female,35,21,35,1,0.8723441038959797,-1.2630937934771926
18,Male,20,21,66,1,0.11114340990661911,-2.0242944874665465
19,Male,52,23,29,2,1.681058499347829,-0.3464199492198317
20,Female,35,23,98,1,0.8183643794932202,-1.2091140690744326
21,Male,35,24,35,1,0.7913745172918406,-1.1821242068730529
22,Male,25,24,73,1,0.2839073879656003,-1.6895913361992887
23,Female,46,25,5,2,1.3225984973493254,-0.5969205024128132
24,Male,31,25,73,1,0.5613978033599646,-1.358121196402167
25,Female,54,28,14,2,1.6476026142061784,-0.10997721234768462
26,Male,29,28,82,1,0.37893479089057724,-1.3786450356632742
27,Female,45,28,32,2,1.190882197812562,-0.5666976287412969
28,Male,35,28,61,1,0.6834150684863215,-1.0741647580675329
29,Female,40,29,31,1,0.9101587709480621,-0.793441331203035
30,Female,23,29,87,1,0.04746465109345336,-1.6561354510576358
31,Male,60,30,4,2,1.8981031673991633,0.24848278965081702
32,Female,21,30,73,1,-0.08101863697317457,-1.7306390147215032
33,Male,53,33,4,2,1.4619065902666557,-0.02577461427340838
34,Male,18,33,92,1,-0.3142283623751857,-1.801909566915234
35,Female,49,33,14,2,1.2589197385361597,-0.22876146600390262
36,Female,21,33,81,1,-0.1619882235773137,-1.6496694281173632
37,Female,42,34,17,1,0.8767028858064113,-0.5569985943308878
38,Female,30,34,73,1,0.26774233061492286,-1.165959149522371
39,Female,36,37,26,1,0.49125302160652806,-0.7805092853224895
40,Female,20,37,75,1,-0.32069438531545663,-1.592456692244467
41,Female,65,38,35,2,1.9359178344512458,0.7181352519249745
42,Male,24,38,92,1,-0.14469739578634025,-1.3624799783125925
43,Male,48,39,36,2,1.0462338523952572,-0.11756900572824638
44,Female,31,39,61,1,0.18353973254064831,-0.9802631255828474
45,Female,49,39,28,2,1.0969805653278812,-0.06682229279562277
46,Female,24,39,65,1,-0.17168725798772,-1.3354901161112125
47,Female,50,40,55,2,1.1207374160591257,0.01091428233838077
48,Female,27,40,47,1,-0.04643698139122759,-1.1562601151119618
49,Female,29,40,42,1,0.05505644447402048,-1.0547666892467147
50,Female,31,40,42,1,0.1565498703392686,-0.9532732633814675
51,Female,49,42,52,2,1.016010978723742,0.014147293808517241
52,Male,33,42,60,1,0.2040635718017571,-0.7978001131134603
53,Female,31,43,54,1,0.0755802837351293,-0.8723036767773275
54,Male,59,43,60,2,1.4964882458486026,0.5486042853361329
55,Female,50,43,45,2,1.0397678294549864,0.09188386894252078
56,Male,47,43,41,2,0.887527690657114,-0.06035626985535002
57,Female,51,44,50,2,1.0635246801862306,0.1696204440765242
58,Male,69,44,46,2,1.9769655129734636,1.0830612768637489
59,Female,27,46,51,1,-0.2083761545995061,-0.994320941903682
60,Male,53,46,46,2,1.111038381648719,0.3250935943445314
61,Male,70,46,56,2,1.9737325015033278,1.1877877141991322
